Nombre Municipio,Departamento,Tipo de Nombre,Significado
Suaza,Huila,Origen Indigena,Nombre que significa 'río de la tierra pequeña' en lengua local
Timaná,Huila,Origen Indigena,Nombre indígena que significa 'caliente' o 'caluroso'
Íquira,Huila,Origen Indigena,Nombre indígena
Nátaga,Huila,Origen Indigena,Nombre indígena
Oporapa,Huila,Origen Indigena,Nombre indígena
Pitalito,Huila,Origen Indigena,"Nombre indígena, referencia a un tipo de palma amazónica"
San Agustín,Huila,Origen Indigena,Territorio asociado con cultura indígena agustiniana
Sandoná,Nariño,Origen Indigena,'Lugar de las palmas' en quechua
Tumaco,Nariño,Origen Indigena,Nombre indígena desvirtuado que significa 'tierra de curvas o montañas'
Ipiales,Nariño,Origen Indigena,Nombre indígena
Guapi,Cauca,Origen Indigena,Nombre indígena desvirtuado
La Ceja,Antioquia,Origen Indigena,"Nombre de origen español, pero incluye asentamientos modernos indígenas en la región"
Florencia,Caquetá,Origen Indigena,"Nombre español, aunque la región tiene influencia indígena"
Popayán,Cauca,Origen Indigena,"Nombre de origen nasa-paez, significa ‘dos ríos’ o ‘viento’"
Puracé,Cauca,Origen Indigena,"Nombre del volcán y parque nacional, de origen nasa-paez"
Totoró,Cauca,Origen Indigena,Nombre de origen nasa-paez
Caicedonia,Valle del Cauca,Origen Indigena,"Nombre derivado de una familia española, sin significado indígena"
Calima,Valle del Cauca,Origen Indigena,"Nombre de una antigua cultura del Valle del Cauca, relacionada con una 'bruma' o 'neblina' característica del Pacífico"
Calarcá,Quindío,Origen Indigena,Nombre de origen indígena relacionada con la cultura quimbaya
Caucasia,Antioquia,Origen Indigena,"Nombre indígena del río cercano, de origen embera"
Chinchiná,Caldas,Origen Indigena,"Nombre indígena, posible referencia a una etnia local hoy extinta"
Coello,Tolima,Origen Indigena,"Nombre indígena, asentamiento de origen pijao"
Cocorná,Antioquia,Origen Indigena,"Nombre indígena derivado de un cacique local, posiblemente embera"
Cota,Cundinamarca,Origen Indigena,"Nombre indígena muisca, que hace referencia a un asentamiento histórico"
Cúcuta,Norte de Santander,Origen Indigena,Nombre indígena de la etnia cucutilla o un cacique local
Curití,Santander,Origen Indigena,"Nombre indígena guane, significado incierto"
Duitama,Boyacá,Origen Indigena,"Nombre del cacique Duitama, muisca, que significa 'cercado o fortaleza'"
Espinal,Tolima,Origen Indigena,"Nombre de origen indígena pijao, aunque significado incierto"
Fómeque,Cundinamarca,Origen Indigena,"Del muisca, significa 'beso del colibrí'"
Guapi,Cauca,Origen Indigena,"Nombre indígena, aunque significado desvirtuado"
La Ceja,Antioquia,Origen Indigena,Nombre de origen indígena desvirtuado
La Tebaida,Quindío,Origen Indigena,Nombre indígena antiguo
Manaure,Cesar,Origen Indigena,Nombre de cacique indígena noble
Mocoa,Putumayo,Origen Indigena,"Nombre indígena desvirtuado, inicialmente del afluente Mocoa"
Nevia,Huila,Origen Indigena,"Nombre posiblemente importado, con origen en la historia colonial"
Ocaña,Norte de Santander,Origen Indigena,Nombre derivado de un cacique local indígena
Pasto,Nariño,Origen Indigena,"Nombre indígena kamsá, significa 'lugar de la fiesta'"
Pereira,Risaralda,Origen Indigena,Nombre indígena desvirtuado
Quibdó,Chocó,Origen Indigena,"Nombre indígena embera, aunque significado desvirtuado"
Rionegro,Antioquia,Origen Indigena,Nombre indígena desvirtuado
Sogamoso,Boyacá,Origen Indigena,"Del muisca, significa 'morada del sol'"
Tame,Arauca,Origen Indigena,Nombre de un cacique indígena local
Tibú,Norte de Santander,Origen Indigena,Nombre indígena embera
Tolú,Sucre,Origen Indigena,Nombre indígena desvirtuado
Tunja,Boyacá,Origen Indigena,"Del muisca, 'cercado de cacique'"
Urrao,Antioquia,Origen Indigena,"Nombre indígena, posible diminutivo indígena"
Yarumal,Antioquia,Origen Indigena,Nombre indígena desvirtuado
Popayán,Cauca,Origen Indigena,"Nombre nasa-paez que significa 'dos ríos', 'viento' y 'río', haciendo alusión a dos ríos de la zona"
Quibdó,Chocó,Origen Indigena,"Nombre indígena embera, aunque significado desvirtuado"
Salamina,Caldas,Origen Indigena,"Nombre indígena con historia colonial, origen del nombre incierto"
San Agustín,Huila,Origen Indigena,"Territorio de la cultura agustiniana, antigua nación indígena"
San Basilio de Palenque,Bolívar,Origen Indigena,Pueblo de cimarrones esclavos libertos con herencia africana e indígena
Sandoná,Nariño,Origen Indigena,"'Lugar de las palmas', término quechua"
Santa Marta,Magdalena,Origen Indigena,Nombre colonial con historia indígena en la zona
San Sebastián de Buenavista,Magdalena,Origen Indigena,Nombre con origen indígena desvirtuado
Suaza,Huila,Origen Indigena,Significado 'río de la tierra pequeña' en lengua local indígena
Timaná,Huila,Origen Indigena,Nombre indígena que significa 'caliente' o 'caluroso'
Tolú,Sucre,Origen Indigena,Nombre indígena desvirtuado
Tumaco,Nariño,Origen Indigena,"'Tierra de curvas o montañas', nombre indígena desvirtuado"
Yarumal,Antioquia,Origen Indigena,Nombre indígena con origen desconocido
Zapatoca,Santander,Origen Indigena,"Toponimia guane, nombre del cacique Zapatoca"
Chaguaní,Cundinamarca,Origen Indigena,Nombre indígena colima; etnia caribe de la región
Maripí,Boyacá,Origen Indigena,"Nombre indígena muzo, caribe, grupo minero extinto"
Yacopí,Cundinamarca,Origen Indigena,"Nombre indígena muzo, posible raíz caribe"
Caparrapí,Cundinamarca,Origen Indigena,"Nombre indígena, pueblo caribeño, significado incierto"
Topaipí,Cundinamarca,Origen Indigena,Nombre indígena muzo-caribe
Vianí,Cundinamarca,Origen Indigena,"Nombre indígena, significado desvirtuado"
Coper,Boyacá,Origen Indigena,Nombre indígena muzo-caribe
Muzo,Boyacá,Origen Indigena,Nombre indígena; importante centro de explotación de esmeraldas de la etnia muzo
Otanche,Boyacá,Origen Indigena,Nombre indígena muzo-caribe
Pauna,Boyacá,Origen Indigena,"Nombre indígena, de etnia caribe muzo"
Quípama,Boyacá,Origen Indigena,Nombre indígena muzo; zona de explotación de esmeraldas
Tununguá,Boyacá,Origen Indigena,"Nombre indígena, relacionado con los muzo"
Chámeza,Casanare,Origen Indigena,"Nombre indígena, farallones homónimos, etnia muisca"
Socha,Boyacá,Origen Indigena,"Nombre muisca, localidad histórica"
Soacha,Cundinamarca,Origen Indigena,Nombre muisca que significa 'hombre del sol'
Sora,Boyacá,Origen Indigena,"Nombre muisca, localidad boyacense"
Soracá,Boyacá,Origen Indigena,"Nombre muisca, población cercana a Tunja"
Tota,Boyacá,Origen Indigena,"Nombre muisca, hace referencia a 'laguna'"
Tuta,Boyacá,Origen Indigena,"Nombre muisca, localidad boyacense"
Pasca,Cundinamarca,Origen Indigena,"Nombre muisca, zona de la balsa muisca"
Pesca,Boyacá,Origen Indigena,Nombre muisca
Firavitoba,Boyacá,Origen Indigena,Nombre muisca; localidad en la provincia de Sugamuxi
Sogamoso,Boyacá,Origen Indigena,Nombre muisca: 'morada del sol'
Chiscas,Boyacá,Origen Indigena,"Nombre muisca, en las faldas de la Sierra Nevada del Cocuy"
Chiquinquirá,Boyacá,Origen Indigena,"Nombre muisca, significa 'ciénaga de los muiscas'"
Moniquirá,Boyacá,Origen Indigena,Nombre muisca: 'cercado de baño'
Ráquira,Boyacá,Origen Indigena,Nombre muisca: 'ciudad de las ollas'
Sotaquirá,Boyacá,Origen Indigena,"Nombre muisca, derivado de 'quira': poblado"
Zetaquirá,Boyacá,Origen Indigena,"Nombre muisca, cacique Zetaquirá"
Zipaquirá,Cundinamarca,Origen Indigena,"Nombre muisca: 'ciudad del zipa', origen de la sal"
Zipacón,Cundinamarca,Origen Indigena,Nombre muisca: 'lugar del zipa'
Guatavita,Cundinamarca,Origen Indigena,Nombre muisca; laguna sagrada origen de la leyenda de El Dorado
Funza,Cundinamarca,Origen Indigena,"Nombre muisca; asiento del zipa de Bacatá, origen de Bogotá"
Bacatá/Cota,Cundinamarca,Origen Indigena,"Nombre muisca; Bacatá es la raíz de Bogotá, significa 'cercado fuera de la labranza'"
Chía,Cundinamarca,Origen Indigena,Nombre muisca que significa 'luna'
Tabio,Cundinamarca,Origen Indigena,Nombre muisca
Tenjo,Cundinamarca,Origen Indigena,Nombre muisca
Sesquilé,Cundinamarca,Origen Indigena,"Nombre muisca, vecino de la laguna de Guatavita"
Suesca,Cundinamarca,Origen Indigena,"Nombre muisca, referente a los peñascos de escalada"
Subachoque,Cundinamarca,Origen Indigena,Nombre muisca
Cogua,Cundinamarca,Origen Indigena,Nombre muisca
Gachetá,Cundinamarca,Origen Indigena,Nombre muisca
Guachetá,Cundinamarca,Origen Indigena,Nombre muisca
Machetá,Cundinamarca,Origen Indigena,Nombre muisca
Manta,Cundinamarca,Origen Indigena,Nombre muisca
Supatá,Cundinamarca,Origen Indigena,Nombre muisca
Tibirita,Cundinamarca,Origen Indigena,Nombre muisca
Ajizalá,Meta,Origen Indigena,"Nombre de origen indígena, relacionado con palabra de raíz local"
Alban, Cundinamarca,Origen Indigena,"Nombre de origen indígena, aunque con poca documentación"
Amalfi, Antioquia,Origen Indigena,Nombre que posiblemente proviene de un cacique o tradición indígena
Anzá, Antioquia,Origen Indigena,"Nombre indígena, pueblo pequeño en el margen izquierdo del río Cauca"
Arbeláez, Cundinamarca,Origen Indigena,"Nombre indígena, derivado de raíces muiscas o de la región"
Ataco, Tolima,Origen Indigena,Nombre indígena pijao que significa 'lugar de laguna seca'
Bituima, Cundinamarca,Origen Indigena,Nombre indígena referido a líder panche o lugar nativo
Bojacá, Cundinamarca,Origen Indigena,"Nombre muisca, sitio de fuerte o cercado"
Buriticá, Antioquia,Origen Indigena,"Nombre del cacique Buriticá, que intentó suicidarse para evitar captura"
Cajamarca, Tolima,Origen Indigena,"Nombre indígena, aproximadamente 'espalda de la montaña'"
Calarcá, Quindío,Origen Indigena,Nombre de origen indígena relacionado con grupo cultural quimbaya
Canaima, Guainía,Origen Indigena,"Nombre indígena amazónico, relacionado con grupo étnico o sitio"
Caparrapí, Cundinamarca,Origen Indigena,"Nombre indígena del pueblo caribe o colima, significado incierto"
Carupa, Cundinamarca,Origen Indigena,"Nombre de origen indígena, asociado a sitios ancestrales"
Cartagena, Bolívar,Origen Indigena,"Nombre colonial, pero en una región con fuerte presencia indígena precolombina"
Cunday, Tolima,Origen Indigena,"Nombre indígena panche, pueblo histórico en las tierras llanas"
Cucutilla, Norte de Santander,Origen Indigena,"Nombre derivado de la ciudad de Cúcuta, nombre indígena cucutilla o cacique"
Curumaní, Cesar,Origen Indigena,"Nombre indígena de origen chimila, región caribe"
Duitama, Boyacá,Origen Indigena,"Nombre del cacique muisca Duitama, significa 'cercado o fortaleza'"
El Espinal, Tolima,Origen Indigena,"Nombre de origen histórico, sobre asentamiento indígena pijao"
Facatativá, Cundinamarca,Origen Indigena,"Nombre muisca, significa lugar de balsas o canoas"
Florencia, Caquetá,Origen Indigena,"Nombre español, pero territorio con presencia indígena huitoto"
Fómeque, Cundinamarca,Origen Indigena,"Nombre muisca, 'beso del colibrí'"
Garzón, Huila,Origen Indigena,"Nombre de origen toponímico indígena, posible cacique o lugar"
Guaduas, Cundinamarca,Origen Indigena,"Nombre muisca, localidad histórica de comercio indígena"
Guapi, Cauca,Origen Indigena,"Nombre indígena desvirtuado, posiblemente nasa-paez"
Icononzo, Tolima,Origen Indigena,Nombre pijao que significa 'laguna del tigre'
Ibagué, Tolima,Origen Indigena,"Nombre pijao, derivado de cacique o mujer indígena"
Jaraba, Boyacá,Origen Indigena,"Nombre indígena muisca, asentamiento tradicional"
La Tebaida, Quindío,Origen Indigena,"Nombre indígena antiguo, origen ligado a asentamientos precolombinos"
Leticia, Amazonas,Origen Indigena,Nombre de origen local indígena en lengua ticuna o yagua
Lloró, Chocó,Origen Indigena,Nombre indígena relacionado con la zona fluvial y selva del Pacífico
Mariquita, Tolima,Origen Indigena,"Nombre indígena derivado del cacique Mariquita, original de la zona"
Mocoa, Putumayo,Origen Indigena,"Nombre indígena desvirtuado, originalmente del río afluente Mocoa"
Montelíbano, Córdoba,Origen Indigena,Nombre compuesto con raíces indígenas y coloniales
Natagaima, Tolima,Origen Indigena,"Nombre indígena panche o pijao, frecuente en llanura y piedemonte"
Neiva, Huila,Origen Indigena,"Nombre con posible origen importado, aceptación común"
Ocaña, Norte de Santander,Origen Indigena,Nombre indígena de cacique local
Palermo, Huila,Origen Indigena,"Nombre español, pero área con nombres indígenas cercanos"
Pasto, Nariño,Origen Indigena,"Nombre indígena kamsá, significa 'lugar de fiesta'"
Pitalito, Huila,Origen Indigena,Nombre indígena que refiere a especie de palma amazónica
Popayán, Cauca,Origen Indigena,"Nombre nasa-paez, significa 'dos ríos' o 'viento', alusión a la geografía"
Pueblo Bello, Cesar,Origen Indigena,"Nombre propio colonial, area de indígenas chimila"
Quibdó, Chocó,Origen Indigena,Nombre embera de la capital departamental
Quimbaya, Quindío,Origen Indigena,Nombre de la cultura indígena precolombina quimbaya
Rionegro, Antioquia,Origen Indigena,"Nombre de origen indígena desvirtuado, sitio fluvial"
San Agustín, Huila,Origen Indigena,Territorio de cultura agustiniana precolombina
San Basilio de Palenque, Bolívar,Origen Indigena,"Pueblo cimarrón reconocido patrimonio cultural, con raíces africanas e indígenas"
San Gil, Santander,Origen Indigena,Nombre colonial con fuerte presencia indígena guane
San José del Guaviare, Guaviare,Origen Indigena,Nombre que combina patronazgo español con topónimo indígena
Sandoná, Nariño,Origen Indigena,Nombre indígena quechua que significa 'lugar de las palmas'
Santa Marta, Magdalena,Origen Indigena,Nombre colonial situado en territorio con fuerte población indígena tayrona
Tamalameque, Cesar,Origen Indigena,"Nombre chimila, cacique que resistió conquista española"
Tibú, Norte de Santander,Origen Indigena,Nombre indígena embera
Tolú, Sucre,Origen Indigena,"Nombre indígena desvirtuado, zona costera"
Tunja, Boyacá,Origen Indigena,"Nombre muisca, 'cercado del cacique'"
Urrao, Antioquia,Origen Indigena,Nombre indígena de origen nutabe
Yopal, Casanare,Origen Indigena,Nombre indígena local de los llanos
Zapatoca, Santander,Origen Indigena,Nombre guane que significa probable lugar de sepultura
Roberto Payán,Nariño,Origen Indigena,Nombre de un líder local en tiempos modernos; no indígena
San Bernardo del Viento,Córdoba,Origen Indigena,"Nombre descriptivo, 'viento', pero con posible origen indígena"
San Martín de Loba,Bolívar,Origen Indigena,Nombre colonial; área con presencia indígena histórica
San Pablo,Bolívar,Origen Indigena,Nombre colonial; localidad con preexistencia indígena
San Pedro,Valle del Cauca,Origen Indigena,Nombre religioso; área con posible nombre indígena anterior
San Vicente del Caguán,Caquetá,Origen Indigena,Nombre compuesto con origen indígena en Caguán
Santa Ana,Atlántico,Origen Indigena,Nombre religioso; zona con raíces indígenas
Santa Bárbara,Antioquia,Origen Indigena,Nombre religioso; localidad con nombre indígena anterior
Santa Catalina,Bolívar,Origen Indigena,Nombre religioso; posible sincretismo con nombre indígena
Santa Rosa,Atlántico,Origen Indigena,Nombre religioso; área con influencia indígena
Santander de Quilichao,Cauca,Origen Indigena,"El nombre 'Santander' es colonial, pero Quilichao es nombre indígena"
Sardinata,Norte de Santander,Origen Indigena,Nombre de origen indígena
Segovia,Antioquia,Origen Indigena,Nombre colonial; lugar con indígenas precolombinos
Silos,Norte de Santander,Origen Indigena,"Nombre indígena, posible referencia a lugar o líder"
Silvania,Cundinamarca,Origen Indigena,Nombre moderno derivado de 'silva' (bosque); pocas raíces indígenas
Simijaca,Cundinamarca,Origen Indigena,"Nombre muisca, significa 'pico de lechuza'"
Soacha,Cundinamarca,Origen Indigena,Nombre muisca que significa 'hombre del sol'
Socorro,Santander,Origen Indigena,Nombre colonial; pero fundada sobre territorio indígena guane
Sopó,Cundinamarca,Origen Indigena,Nombre muisca
Sotaquirá,Boyacá,Origen Indigena,"Nombre muisca, derivado de 'quira' que significa poblado"
Sutamarchán,Boyacá,Origen Indigena,Nombre muisca
Sutatausa,Cundinamarca,Origen Indigena,Nombre muisca
Sutatenza,Boyacá,Origen Indigena,Nombre muisca
Tibacuy,Cundinamarca,Origen Indigena,Nombre muisca
Tibirita,Cundinamarca,Origen Indigena,Nombre muisca
Tibasosa,Boyacá,Origen Indigena,Nombre muisca
Tinjacá,Boyacá,Origen Indigena,Nombre muisca
Toluviejo,Sucre,Origen Indigena,Nombre indígena desvirtuado
Tota,Boyacá,Origen Indigena,"Nombre muisca, hace referencia a 'laguna'"
Tunja,Boyacá,Origen Indigena,"Nombre muisca, significa 'cercado del cacique'"
Turmequé,Boyacá,Origen Indigena,Nombre muisca
Ubaté,Cundinamarca,Origen Indigena,Nombre muisca
Ungía,Chocó,Origen Indigena,Nombre indígena del Pacífico colombiano
Usiacurí,Atlántico,Origen Indigena,Nombre indígena de origen local
Valledupar,Cesar,Origen Indigena,Derivado del cacique Upar
Yarumal,Antioquia,Origen Indigena,Nombre indígena con origen desconocido
Zapatoca,Santander,Origen Indigena,Nombre guane que significa probablemente 'sepultura del padre en lo alto del río'
Guatapé,Antioquia,Origen Indigena,"Nombre indígena, hace referencia a la piedra sagrada, lengua tahamí"
Guarne,Antioquia,Origen Indigena,"Nombre indígena; municipio del oriente antioqueño, significado impreciso"
Ituango,Antioquia,Origen Indigena,Significa 'río de chicha' en lengua indígena local
Ebéjico,Antioquia,Origen Indigena,Nombre del grupo indígena nutabaes y de su cacique
Peque,Antioquia,Origen Indigena,"Nombre indígena, grupo nutabe de la zona"
Uramita,Antioquia,Origen Indigena,Diminutivo indígena castellano que alude a la palabra 'totuma'
Yondó,Antioquia,Origen Indigena,"Nombre indígena embera, zona Urabá"
Apía,Risaralda,Origen Indigena,"Nombre de la etnia indígena apias, antiguos habitantes"
Guática,Risaralda,Origen Indigena,"Nombre de etnia caribe, grupo guática o guátiquas"
Quinchía,Risaralda,Origen Indigena,"Nombre indígena, deriva de 'quinchos' (cercado de guadua con cráneos humanos)"
Mistrató,Risaralda,Origen Indigena,Nombre indígena; castellanización de expresión embera para 'río de las loras'
Calarcá,Quindío,Origen Indigena,Nombre de legendario cacique pijao muerto en batalla en 1607
Pijao,Quindío,Origen Indigena,"Nombre de la etnia pijao, antiguos habitantes de la zona"
Supía,Caldas,Origen Indigena,Etimología de etnia extinta llamada los sopias
Anserma,Caldas,Origen Indigena,"Nombre indígena, referencia a la sal como producto local"
Marquetalia,Caldas,Origen Indigena,Nombre de la etnia indígena los marquetones
Pácora,Caldas,Origen Indigena,"Nombre indígena, recuerdo de los pacoras, de la etnia quimbaya"
Samaná,Caldas,Origen Indigena,Nombre indígena de la región
Victoria,Caldas,Origen Indigena,"Nombre femenino español, municipio creado en tierras con asentamientos indígenas"
Salamina,Caldas,Origen Indigena,"Nombre indígena con historia colonial, etimología incierta"
Chaguaní,Cundinamarca,Origen Indigena,Nombre indígena colima; etnia caribe de la región
Maripí,Boyacá,Origen Indigena,"Nombre indígena muzo, caribe, grupo minero extinto"
Yacopí,Cundinamarca,Origen Indigena,"Nombre indígena muzo, posible raíz caribe"
Caparrapí,Cundinamarca,Origen Indigena,"Nombre indígena, pueblo caribeño, significado incierto"
Topaipí,Cundinamarca,Origen Indigena,Nombre indígena muzo-caribe
Vianí,Cundinamarca,Origen Indigena,"Nombre indígena, significado desvirtuado"
Coper,Boyacá,Origen Indigena,Nombre indígena muzo-caribe
Muzo,Boyacá,Origen Indigena,Nombre indígena; importante centro de explotación de esmeraldas de la etnia muzo
Otanche,Boyacá,Origen Indigena,Nombre indígena muzo-caribe
Pauna,Boyacá,Origen Indigena,"Nombre indígena, de etnia caribe muzo"
Quípama,Boyacá,Origen Indigena,Nombre indígena muzo; zona de explotación de esmeraldas
Tununguá,Boyacá,Origen Indigena,"Nombre indígena, relacionado con los muzo"
Chámeza,Casanare,Origen Indigena,"Nombre indígena, farallones homónimos, etnia muisca"
Socha,Boyacá,Origen Indigena,"Nombre muisca, localidad histórica"
Soacha,Cundinamarca,Origen Indigena,Nombre muisca que significa 'hombre del sol'
Sora,Boyacá,Origen Indigena,"Nombre muisca, localidad boyacense"
Soracá,Boyacá,Origen Indigena,"Nombre muisca, población cercana a Tunja"
Tota,Boyacá,Origen Indigena,"Nombre muisca, hace referencia a 'laguna'"
Tuta,Boyacá,Origen Indigena,"Nombre muisca, localidad boyacense"
Pasca,Cundinamarca,Origen Indigena,"Nombre muisca, zona de la balsa muisca"
Pesca,Boyacá,Origen Indigena,Nombre muisca
Firavitoba,Boyacá,Origen Indigena,Nombre muisca; localidad en la provincia de Sugamuxi
Sogamoso,Boyacá,Origen Indigena,Nombre muisca: 'morada del sol'
Chiscas,Boyacá,Origen Indigena,"Nombre muisca, en las faldas de la Sierra Nevada del Cocuy"
Chiquinquirá,Boyacá,Origen Indigena,"Nombre muisca, significa 'ciénaga de los muiscas'"
Moniquirá,Boyacá,Origen Indigena,Nombre muisca: 'cercado de baño'
Ráquira,Boyacá,Origen Indigena,Nombre muisca: 'ciudad de las ollas'
Sotaquirá,Boyacá,Origen Indigena,"Nombre muisca, derivado de 'quira': poblado"
Zetaquirá,Boyacá,Origen Indigena,"Nombre muisca, cacique Zetaquirá"
Zipaquirá,Cundinamarca,Origen Indigena,"Nombre muisca: 'ciudad del zipa', origen de la sal"
Zipacón,Cundinamarca,Origen Indigena,Nombre muisca: 'lugar del zipa'
Guatavita,Cundinamarca,Origen Indigena,Nombre muisca; laguna sagrada origen de la leyenda de El Dorado
Funza,Cundinamarca,Origen Indigena,"Nombre muisca; asiento del zipa de Bacatá, origen de Bogotá"
Bacatá/Cota,Cundinamarca,Origen Indigena,"Nombre muisca; Bacatá es la raíz de Bogotá, significa 'cercado fuera de la labranza'"
Chía,Cundinamarca,Origen Indigena,Nombre muisca que significa 'luna'
Tabio,Cundinamarca,Origen Indigena,Nombre muisca
Tenjo,Cundinamarca,Origen Indigena,Nombre muisca
Sesquilé,Cundinamarca,Origen Indigena,"Nombre muisca, vecino de la laguna de Guatavita"
Suesca,Cundinamarca,Origen Indigena,"Nombre muisca, referente a los peñascos de escalada"
Subachoque,Cundinamarca,Origen Indigena,Nombre muisca
Cogua,Cundinamarca,Origen Indigena,Nombre muisca
Gachetá,Cundinamarca,Origen Indigena,Nombre muisca
Guachetá,Cundinamarca,Origen Indigena,Nombre muisca
Machetá,Cundinamarca,Origen Indigena,Nombre muisca
Manta,Cundinamarca,Origen Indigena,Nombre muisca
Supatá,Cundinamarca,Origen Indigena,Nombre muisca
Tibirita,Cundinamarca,Origen Indigena,Nombre muisca
Chitagá,Norte de Santander,Origen Indigena,"Nombre de etnia indígena chitarera, grupo cercano a los chitareros guanes"
Chinácota,Norte de Santander,Origen Indigena,"Nombre indígena, pueblo conocido por la herida mortal del conquistador Ambrosio Alfinger"
Bucaramanga,Santander,Origen Indigena,"Nombre de origen indígena, raíces y significado discutidos, ciudad fundada sobre un antiguo asentamiento indígena"
Cepitá,Santander,Origen Indigena,"Nombre indígena chitarero, pueblo en el páramo de Santurbán"
Macaravita,Santander,Origen Indigena,"Nombre indígena muisca, significado incierto"
Molagavita,Santander,Origen Indigena,"Nombre indígena muisca, población remota en la provincia García Rovira"
Suratá,Santander,Origen Indigena,"Nombre indígena, pueblo en la provincia de Soto Norte, con presencia histórica de la cultura indígena"
Zapatoca,Santander,Origen Indigena,"Nombre guane, posible significado 'sepultura del padre en lo alto del río'"
Pamplona,Norte de Santander,Origen Indigena,"Nombre indígena, fundado sobre territorio indígena, ciudad con historia colonial"
Ocaña,Norte de Santander,Origen Indigena,Nombre indígena de un cacique local
Bochalema,Norte de Santander,Origen Indigena,"Nombre de origen indígena, cercano a Pamplona"
Bucarasica,Norte de Santander,Origen Indigena,"Nombre indígena, pueblo con un solo camino de entrada y salida"
Cúcuta,Norte de Santander,Origen Indigena,"Nombre indígena de la etnia cucutilla o cacique local, ciudad fundada en 1733 por Juana Rangel de Cuéllar"
Tibú,Norte de Santander,Origen Indigena,"Nombre indígena embera, cabecera del Catatumbo"
El Tarra,Norte de Santander,Origen Indigena,"Nombre indígena, ubicado en la cuenca del río Tarra en el Catatumbo"
El Zulia,Norte de Santander,Origen Indigena,"Nombre que honra a una mujer indígena líder de la resistencia contra españoles, también derivado al estado venezolano Zulia"
Hacarí,Norte de Santander,Origen Indigena,"Nombre que deriva de los hacaritamas, antiguos habitantes de la provincia de Ocaña"
Labateca,Norte de Santander,Origen Indigena,"Nombre indígena, situada en los límites entre tunebos (uwa) y chitareros"
Chimichagua,Cesar,Origen Indigena,Nombre indígena chimila
Chiriguaná,Cesar,Origen Indigena,Nombre indígena chimila
Curumaní,Cesar,Origen Indigena,Nombre indígena chimila
Tamalameque,Cesar,Origen Indigena,Nombre indígena de un líder indígena que se enfrentó a Jiménez de Quesada
Manaure,Cesar,Origen Indigena,Nombre de un cacique indígena noble
Valledupar,Cesar,Origen Indigena,Derivado del cacique Upar
San Basilio de Palenque,Bolívar,Origen Indigena,"Pueblo cimarrón con herencia africana e indígena, primer pueblo libre de América"
Turbaco,Bolívar,Origen Indigena,Nombre indígena derivado de cacique Yurbaco
Turbaná,Bolívar,Origen Indigena,Nombre indígena derivado de cacique Yurbaná
Mahates,Bolívar,Origen Indigena,Nombre del grupo indígena malibú
Magangué,Bolívar,Origen Indigena,Nombre indígena del río Magdalena
Mompox,Bolívar,Origen Indigena,Nombre derivado del cacique Mompoj
Cicuco,Bolívar,Origen Indigena,Nombre derivado de un cacique malibú
Tiquisio,Bolívar,Origen Indigena,Nombre indígena de origen perdido
Norosí,Bolívar,Origen Indigena,Nombre indígena de origen perdido
Simití,Bolívar,Origen Indigena,Nombre indígena tradicional con referencias históricas desde 1537
Chocontá,Cundinamarca,Origen Indigena,"Nombre muisca; cercado, fortaleza"
Cota,Cundinamarca,Origen Indigena,Nombre muisca que hace referencia a un asentamiento histórico; cercado
Chía,Cundinamarca,Origen Indigena,Nombre muisca que significa 'luna'
Cajicá,Cundinamarca,Origen Indigena,"Nombre muisca, hace referencia a una fortaleza rodeada de maderos y cañas entretejidas"
Bojacá,Cundinamarca,Origen Indigena,"Nombre muisca, sitio donde Jiménez de Quesada ejecutó al zipa Sagipa"
Funza,Cundinamarca,Origen Indigena,"Nombre muisca; asiento del zipa, origen de la palabra Bogotá"
Fúquene,Cundinamarca,Origen Indigena,"Nombre muisca, zona lacustre famosa"
Ubaté,Cundinamarca,Origen Indigena,"Nombre muisca, relacionado con la cultura y asentamientos indígenas"
Guasca,Cundinamarca,Origen Indigena,"Nombre muisca, hace referencia al lado oriental de la sabana"
Tabio,Cundinamarca,Origen Indigena,Nombre muisca
Tenjo,Cundinamarca,Origen Indigena,Nombre muisca
Ubate,Cundinamarca,Origen Indigena,Nombre muisca
Subachoque,Cundinamarca,Origen Indigena,Nombre muisca
Suesca,Cundinamarca,Origen Indigena,Nombre muisca
Une,Cundinamarca,Origen Indigena,Nombre muisca
Guateque,Boyacá,Origen Indigena,Nombre muisca
Garagoa,Boyacá,Origen Indigena,"Nombre muisca, iglesia catedral monumental"
Gámeza,Boyacá,Origen Indigena,"Nombre de un cacique local, provincia de Sugamuxi"
Tópaga,Boyacá,Origen Indigena,Nombre muisca
Iza,Boyacá,Origen Indigena,"Nombre muisca, conocida por sus aguas termales"
Tota,Boyacá,Origen Indigena,"Nombre muisca, referente a la laguna de Tota"
Aquitania,Boyacá,Origen Indigena,"Nombre muisca, municipio ribereño de la laguna"
Cuítiva,Boyacá,Origen Indigena,"Nombre muisca, junto a Aquitania y Tota en la laguna"
Firavitoba,Boyacá,Origen Indigena,Nombre muisca; iglesia monumental
Nobsa,Boyacá,Origen Indigena,"Nombre muisca, famosa por sus tejidos"
Paipa,Boyacá,Origen Indigena,Nombre muisca
Pesca,Boyacá,Origen Indigena,Nombre muisca
Toca,Boyacá,Origen Indigena,"Nombre muisca, con dos iglesias en su plaza"
Monguí,Boyacá,Origen Indigena,"Nombre muisca, famosa basílica menor"
